Exploration_task0 Actions Max,Epoch Time (s),_task0 Returns Min,Policy log std Mean,VF Loss,Policy mu Std,V Predictions Max,R Predictions Min,R Predictions Max,(Previous) Eval Time (s),AverageReturn__task0,R Predictions Std,_task0 Rewards Mean,Policy Loss,_task0 Actions Max,KL Loss,Number of rollouts total,Exploration_task0 Actions Std,_task0 Rewards Max,Q Predictions Min,Policy log std Min,Z variance train,Log Pis Max,Num Paths,_task0 Rewards Min,_task0 Actions Std,Number of env steps total,Total Train Time (s),Z mean train,Q Predictions Mean,QF Loss,Policy mu Mean,_task0 Actions Min,V Predictions Mean,Log Pis Mean,Log Pis Min,Exploration_task0 Returns Max,AverageReturn_all_train_tasks,Exploration_task0 Returns Std,R Predictions Mean,Number of train steps total,Exploration_task0 Returns Mean,Log Pis Std,Exploration_task0 Rewards Max,Q Predictions Std,Policy log std Std,_task0 Rewards Std,Epoch,Policy mu Max,V Predictions Min,Q Predictions Max,_task0 Actions Mean,Policy log std Max,Train Time (s),Sample Time (s),Exploration_task0 Actions Min,RF Loss,_task0 Returns Max,Exploration_task0 Rewards Mean,Exploration_task0 Rewards Min,Exploration_task0 Returns Min,_task0 Returns Mean,Exploration_task0 Rewards Std,V Predictions Std,Exploration_task0 Actions Mean,_task0 Returns Std,KL Divergence,AverageReturn_all_test_tasks,Policy mu Min
0.999923,205.4235042010023,-124.127662812,0.000137752,7.41831,0.000567964,0.00648074,0.00130258,0.00524719,0,1637.72032786,0.000663438,10.9181355191,-2.69438,0.996621,19.798969268798828,369,0.659019,196.354804145,0.00258996,-0.00206187,0.010843,-1.17885,369,-0.938001797632,0.823563,51000,231.16740963100347,0.00885854,0.00375449,1.20577e+06,0.000855674,-0.995827,0.00621048,-2.67733,-4.59908,564973.103394,1739.16489394,92849.542175,0.00351687,1000,49908.02141,0.438247,7872.77429475,0.00039523,0.00182398,37.6483869671,0,0.0020891,0.00576859,0.00470039,-0.475391,0.00323001,96.37193114399997,109.05157305700232,-1.0,459473.0,5014.99159965,329.152098307,-9.38008948747,-1234.80718978,1637.72032786,696.298038869,0.000168758,-0.0368562,2402.02483434,197.98968505859375,1637.72032786,0.000223097
1.0,229.18040289700366,-114.168268335,-0.429034,2.46192e+06,1.85475,14884.1,-43.4256,3847.65,25.668545458000153,102.380468393,1607.17,0.682536455956,-3139.05,1.0,0.10669837146997452,732,0.842461,73.5316628141,1.97993,-0.810438,0.837668,20.092,363,-0.881593719243,0.963684,101000,460.2341529900077,0.00490373,3365.27,1.80339e+07,-0.922536,-1.0,3667.68,7.58112,-7.48801,53773.8959952,115.821725368,23688.7185193,1094.21,2000,15112.5910464,3.51189,2096.69387597,5439.93,0.439866,7.87835817352,1,2.91695,12.7737,17452.1,-0.148252,0.694794,96.95679789099995,106.55505954800356,-1.0,3.48173e+06,470.909094693,99.7431009063,-9.38009826939,-1634.58020057,102.380468393,360.68520874,4386.07,-0.388025,266.846703999,1.066983699798584,102.380468393,-2.79019
1.0,229.7302701620065,-132.800000865,0.672206,452560.0,17.9898,22501.7,-25.5083,994.22,25.55537144200025,7855.59589408,306.025,52.3706392939,-5421.55,1.0,0.07606968283653259,1095,0.944962,826.001536017,81.3697,-0.841046,0.839254,43.5476,363,-1.03616862838,0.72061,151000,689.9716826670137,0.00447677,5126.04,2.60765e+06,0.158849,-0.999971,5117.22,28.9085,-1.04871,672319.21989,9834.18781941,67429.8950069,541.284,3000,11172.7944452,9.51108,8525.28315644,5409.93,1.35334,128.794705993,2,34.429,26.6342,19916.6,0.29723,2.0,97.97232371599966,106.20257500400658,-1.0,394683.0,45547.8415883,73.740443338,-10.3573090406,-1549.7290383,7855.59589408,499.605681592,5978.78,-0.0748674,15150.8767429,0.7606968283653259,7855.59589408,-32.5757
1.0,229.92156295600398,-115.855410232,-0.50581,57178.7,7.85126,33648.4,-54.7524,705.598,25.56283373200131,1338.75420106,147.818,8.92502800707,-7952.18,1.0,0.28334325551986694,1458,0.788921,442.64841803,176.627,-1.74845,1.24948,49.4658,363,-0.925101684369,0.833754,201000,920.0664819790181,0.00994848,7347.78,2.46921e+06,1.69374,-1.0,7827.19,19.8553,-0.20136,781097.922655,4328.14172462,195241.003714,59.9881,4000,111978.202417,8.11492,11253.1979054,8766.04,0.660741,47.5931789188,3,35.9555,103.925,30666.0,0.191963,2.0,97.43359074399996,106.92513848000272,-1.0,3.66314e+06,14895.7630545,739.056135953,-10.3623168388,-1863.2939916,1338.75420106,1563.76359257,9308.98,0.265901,4159.23445304,2.83343243598938,1338.75420106,-26.8184
1.0,227.85339405499508,-103.596935629,-0.135349,127604.0,9.65089,47733.1,-11.9144,4430.0,25.73692740900151,549.754139472,715.408,3.66502759648,-10515.5,1.0,0.021598422899842262,1821,0.858515,138.681136124,136.389,-1.55322,1.07383,41.8757,363,-0.867596094711,0.783392,251000,1147.6867297700137,0.00158577,9936.23,4.56361e+06,0.497267,-0.999986,10498.7,23.19,-2.14439,407142.438501,546.090139125,55078.462364,344.012,5000,22220.8311946,6.58974,8053.28547522,12504.7,0.889931,19.3503345701,4,45.5203,215.483,44716.4,0.162725,2.0,96.33956028399916,105.7769063619944,-1.0,231534.0,2189.74551688,146.657485884,-9.95588696172,-1669.70131869,549.754139472,526.3938801,13020.1,0.214309,871.122125569,0.21598422527313232,549.754139472,-26.1226
1.0,229.64299887700872,-97.8091047023,-0.614343,268161.0,7.3717,61095.9,-6.43062,3412.58,25.50367288900088,845.054792171,299.315,5.63369861447,-13180.7,1.0,0.000976638519205153,2184,0.828054,259.834082543,250.078,-1.57351,1.01572,40.8692,363,-0.794176407976,0.796689,301000,1377.1597872500206,0.000253365,12794.5,7.28136e+06,0.940397,-0.999994,13379.2,16.9761,-0.402799,136719.923892,502.321523998,13326.4751443,49.749,6000,6600.85887636,7.82686,4337.05656871,15900.9,0.541998,27.9391240898,5,44.9193,288.332,57606.1,0.0687858,2.0,97.82956898199882,106.30975700600902,-1.0,14525.3,6248.36953592,43.565668584,-9.82145397013,-1457.94542001,845.054792171,236.121852429,16516.1,0.140971,1811.19085412,0.009766384959220886,845.054792171,-5.86435
1.0,228.28144598899962,-79.3800621832,-0.599848,88640.7,6.8463,72370.6,-6.9621,3044.3,25.333905260999018,1442.74272257,469.159,9.61828481713,-14712.5,1.0,0.0023230488877743483,2547,0.831937,173.827005504,276.048,-1.56284,1.02115,45.6666,363,-0.863945100462,0.788882,351000,1605.387421355019,0.00567727,14361.7,8.41089e+06,-0.146576,-1.0,14804.0,16.0346,-2.65894,647775.566228,115.221506211,60388.904968,159.282,7000,14610.5307177,7.58362,6846.33963807,17839.1,0.493353,29.8410274949,6,46.3275,257.117,68759.7,-0.000944016,2.0,97.48256787500031,105.46497285300029,-1.0,100300.0,16493.3455889,96.4295027367,-9.16170186081,-1338.12498068,1442.74272257,505.951889408,18346.5,0.111041,4114.35734209,0.02323048934340477,1442.74272257,-29.5336
1.0,228.6878491270072,-85.1724093933,-0.600237,97026.8,6.96004,84394.6,-5.81617,3425.7,25.280614462000813,674.453839883,681.905,4.49635893255,-16343.6,1.0,0.00038824044167995453,2910,0.821186,115.716062816,225.713,-1.57624,0.99038,40.6495,363,-0.817202716433,0.75308,401000,1834.1680074890282,0.00294588,15939.3,5.38537e+06,-0.410095,-1.0,16452.7,15.8674,-3.26117,700759.51128,22543.7888392,127057.810172,267.282,8000,45717.1492904,7.74369,7996.7243963,20220.8,0.507252,16.866199779,7,47.4303,368.257,79933.4,0.0147856,2.0,97.85122135100028,105.55601331400612,-1.0,606018.0,5760.38510647,301.733185317,-8.98834867506,-1224.82530795,674.453839883,931.04159246,20875.7,-0.0292894,1594.37509701,0.0038824044167995453,674.453839883,-33.6308
1.0,228.51226464101092,-95.2849006902,-0.526098,139604.0,5.39121,95416.9,-10.2487,7042.74,25.373671495999588,2670.98622023,1009.35,17.8065748015,-18630.6,1.0,0.0011015465715900064,3273,0.828022,144.296500603,238.552,-1.35261,1.02159,43.7415,363,-0.782115507854,0.748081,451000,2062.7422480310433,0.00580321,18250.5,1.56794e+07,-0.714276,-1.0,18858.8,17.2198,-2.82451,823475.179448,8115.6297668,169584.92343,327.118,9000,68261.8850848,7.2063,9738.20327028,23341.2,0.411069,36.5784024413,8,34.8625,418.462,91298.1,-0.104312,2.0,97.21759246799957,105.92100067701176,-1.0,85664.6,15981.3239075,450.52844156,-8.8195849387,-1492.18018488,2670.98622023,1251.38700287,24022.2,-0.084623,5147.46616885,0.01101546548306942,2670.98622023,-19.7754
1.0,228.01872168201226,-120.178599947,-0.567529,75031.6,4.45284,108109.0,-16.35,5856.93,25.436071908001395,8994.55571387,1045.15,59.9637047591,-20522.1,1.0,0.0007916514878161252,3636,0.831616,518.951623722,276.244,-2.60684,0.999186,48.5286,363,-0.939883177535,0.779579,501000,2290.8378259110505,0.00832934,20046.4,1.12415e+07,-0.886191,-1.0,20607.0,18.1061,-1.23681,770465.772416,10809.1326467,169017.890998,513.231,10000,85532.1968984,7.3432,7255.33885252,25909.9,0.345357,126.612775048,9,23.9108,439.567,104193.0,-0.242294,1.9271,96.67513873600001,105.90751103801085,-1.0,73983.5,61284.3626534,564.512499529,-9.99518193306,-1261.2160756,8994.55571387,1206.7294759,26576.0,-0.181163,18339.005575,0.00791651476174593,8994.55571387,-18.1687
